Team,Massey_Total,Massey_Off,Massey_Def
Air Force,0.698649371226558,36.2,25.8
Akron,-2.253808999018137,7.7,35.3
Alabama,2.3151078910558827,47.7,14.6
App State,0.6998466250806892,34.3,23.2
Arizona,-0.42225527857255873,30.1,36.1
Arizona State,0.4321676779475845,28.0,23.7
Arkansas,-0.6998481812137891,21.7,32.3
Arkansas State,-0.38088589057715194,30.1,34.2
Army,-0.2903332804410595,28.6,30.4
Auburn,1.575622639443446,33.9,14.9
BYU,0.08432955572476505,28.6,26.2
Ball State,-0.4087754723867175,29.5,32.6
Baylor,1.1769620189897316,34.7,17.3
Boise State,0.5860749910704597,32.9,25.0
Boston College,-0.3044000435415892,31.3,35.4
Bowling Green,-2.0690243651172255,14.9,39.5
Buffalo,-0.24240792071048783,25.0,24.6
California,0.005358034199956327,23.8,24.7
Central Michigan,-0.49244540885990346,26.0,29.0
Charlotte,-0.7233913945745611,29.9,35.1
Cincinnati,0.6180138537713513,29.1,21.1
Clemson,2.2383935967216804,43.5,14.6
Coastal Carolina,-0.9780201978378082,23.4,35.3
Colorado,-0.2464215016569652,30.1,34.7
Colorado State,-0.5523032789696893,26.1,30.1
Duke,-0.11295591120443485,19.7,23.0
East Carolina,-1.0726377747290265,24.0,38.1
Eastern Michigan,-0.6874065769260489,29.3,37.8
Florida,1.687713023073098,37.8,15.5
Florida Atlantic,0.11392040199595727,28.6,29.5
Florida International,-0.6479653321045284,22.0,29.4
Florida State,0.19095612618592522,30.2,27.1
Fresno State,-0.3192812670007203,30.6,33.6
Georgia,1.896467395478005,34.2,10.0
Georgia Southern,-0.39090161542903035,22.2,27.4
Georgia State,-0.8678140369634035,29.4,38.4
Georgia Tech,-0.9018681405781057,18.8,28.9
Hawai'i,-0.21551751491046936,34.7,35.8
Houston,-0.3115198209376337,29.6,35.4
Illinois,-0.03326642659280155,24.4,25.8
Indiana,0.7345641688008077,35.6,23.8
Iowa,1.1687103020546787,30.0,15.2
Iowa State,0.8638147745185711,31.8,19.5
Kansas,-0.7762873481998436,26.2,34.8
Kansas State,0.4912871933476062,28.8,24.8
Kent State,-0.7310235918228369,25.9,37.9
Kentucky,0.6480637879578558,30.1,22.2
LSU,2.377560292846786,48.9,17.7
Liberty,-0.45756705582642954,29.3,32.0
Louisiana,0.5533948252579892,36.7,28.3
Louisiana Tech,-0.15913119152465546,25.3,25.0
Louisville,0.07221427582287575,34.6,33.6
Marshall,-0.28065172290693186,23.8,26.6
Maryland,-0.4849822413987737,26.3,30.3
Massachusetts,-2.713062895889587,15.3,49.3
Memphis,1.0354963101545969,39.5,23.4
Miami,0.5334525962069453,26.0,15.6
Miami (OH),-0.7149292398748297,19.8,30.0
Michigan,1.5135277449950482,35.7,16.0
Michigan State,0.5322051475886551,24.4,16.1
Middle Tennessee,-0.7932090867393827,27.2,37.4
Minnesota,1.223662079082278,39.8,19.6
Mississippi State,0.3749508307974789,33.1,28.7
Missouri,0.5607034577512835,24.5,17.1
NC State,-0.54305276356698,22.0,29.7
Navy,0.6057722734564657,36.0,25.5
Nebraska,0.23826805180429422,32.2,27.4
